Identificador, "Codigo externo do registro", Etapa   , "Data da criacao" , "Momento do ultimo ganho", "Momento da ultima perda", "Na mesma etapa desde", "Codigo - Oferta de curso", "Nome - Oferta de curso", "Identificador da pessoa", "Codigo externo da pessoa", "Nome da pessoa"                , "Nome do responsavel", Atividade    , "E-mail da pessoa"       , "E-mails secundarios", "Telefone da pessoa", "Telefones secundarios", CPF        , "Data de nascimento", "Valor da oportunidade", "Data da atividade", "Forma de ingresso", "Grau de instrucao", "Escola de origem", "Nota do ENEM", "Processo seletivo", Unidade, Modalidade, Status        , "Local da oferta", Canal      , "Resumo atual"  , Objecao, "Observacoes da perda", Endereco, Numero , Bairro , Cidade , UF     , Concorrentes, Probabilidade, "[AE] Situacao de matricula", "Area de Preferencia", "[AE] % de nota geral", "[AE] % de frequencia geral", "[AE] Satisfacao", "[AE] Qtd de lancamentos Vencidos", Matematica, "Portugues ", Literatura, Redacao, Quimica, Fisica, Biologia, Geografia, Historia, Filosofia, Sociologia, Artes, Curso
          308, "- - -"                     , "- - -" , "16/06/2025 17:15", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       348, "- - -"                   , "Caio Sanches"                  , "- - -"              , "Sem agendar", caiosan@email.com        , "- - -"              , +5573995211101      , "- - -"                , 93151928005, 12/07/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         88,           76,         72,      74,      63,     62,       61,        72,       73,        77,         86,    75, Administração
          307, "- - -"                     , "- - -" , "16/06/2025 17:14", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       347, "- - -"                   , "Bruno Coelho"                  , "- - -"              , "Sem agendar", brcoelho@email.com       , "- - -"              , +5533998650866      , "- - -"                , 82218892022, 21/12/2006          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         89,           81,         78,      79,      82,     80,       83,        82,       80,        79,         92,    78, Administração
          306, "- - -"                     , "- - -" , "16/06/2025 17:12", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       346, "- - -"                   , "Raissa Caetano"                , "- - -"              , "Sem agendar", raissaca@email.com       , "- - -"              , +5533998993366      , "- - -"                , 22946293025, 18/08/2006          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           76,         72,      73,      77,     71,       73,        76,       77,        72,         85,    70, Administração
          305, "- - -"                     , "- - -" , "16/06/2025 16:39", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       337, "- - -"                   , "Renato Russo"                  , "- - -"              , "Sem agendar", renrusso@email.com       , "- - -"              , +5561998052135      , "- - -"                , 50701282053, 19/10/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         79,           76,         72,      73,      71,     74,       77,        86,       85,        82,         86,    75, Relações Internacionais
          304, "- - -"                     , "- - -" , "16/06/2025 16:38", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       336, "- - -"                   , "Marcus Loureiro"               , "- - -"              , "Sem agendar", marcuslo@email.com       , "- - -"              , +5532998006152      , "- - -"                , 38336379002, 27/04/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           81,         76,      79,      72,     73,       77,        88,       89,        90,         91,    65, Relações Internacionais
          303, "- - -"                     , "- - -" , "16/06/2025 16:36", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       335, "- - -"                   , "Mariana Garcia"                , "- - -"              , "Sem agendar", marianagarcia@email.com  , "- - -"              , +5577964580321      , "- - -"                , 40166330019, 29/06/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         84,           83,         81,      82,      80,     79,       78,        97,       96,        95,         93,    80, Relações Internacionais
          302, "- - -"                     , "- - -" , "16/06/2025 16:34", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       332, "- - -"                   , "Josi Cabral"                   , "- - -"              , "Sem agendar", josiab@email.com         , "- - -"              , +5511947583166      , "- - -"                , 94297765098, 30/11/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Linguagens           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         58,           76,         71,      60,      70,     68,       59,        60,       60,        78,         79,    53, Linguística
          301, "- - -"                     , "- - -" , "16/06/2025 16:32", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       331, "- - -"                   , "Giovana Petra"                 , "- - -"              , "Sem agendar", gigipetra@email.com      , "- - -"              , +5531974125011      , "- - -"                , 75047821064, 18/07/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Linguagens           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           90,         97,      81,      81,     80,       83,        85,       85,        90,         91,    84, Linguística
          300, "- - -"                     , "- - -" , "16/06/2025 16:31", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       330, "- - -"                   , "Gustavo Scarpa"                , "- - -"              , "Sem agendar", gustavoscarpa@email.com  , "- - -"              , +5521947586366      , "- - -"                , 81997208083, 17/04/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Linguagens           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         58,           69,         70,      61,      59,     60,       61,        63,       61,        76,         73,    65, Linguística
          299, "- - -"                     , "- - -" , "16/06/2025 16:29", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       328, "- - -"                   , "Bruno Fuchs"                   , "- - -"              , "Sem agendar", brunofuchs@email.com     , "- - -"              , +5544945680231      , "- - -"                , 29616303040, 30/07/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Linguagens           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         74,           85,         86,      79,      76,     73,       80,        79,       79,        80,         86,    79, Linguística
          298, "- - -"                     , "- - -" , "16/06/2025 16:28", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       327, "- - -"                   , "Simone Silva"                  , "- - -"              , "Sem agendar", simsil@email.com         , "- - -"              , +5532955806632      , "- - -"                , 88803233008, 29/01/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Linguagens           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           89,         96,      94,      70,     69,       63,        59,       79,        80,         81,    83, Letras
          297, "- - -"                     , "- - -" , "16/06/2025 16:26", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       326, "- - -"                   , "Rafaela Martins"               , "- - -"              , "Sem agendar", rafamarr@email.com       , "- - -"              , +5548996963232      , "- - -"                , 19929815074, 13/06/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Linguagens           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         74,           89,         86,      88,      79,     76,       80,        81,       76,        80,         73,    72, Letras
          296, "- - -"                     , "- - -" , "16/06/2025 16:25", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       325, "- - -"                   , "Igor Gomes"                    , "- - -"              , "Sem agendar", igorgoms@email.com       , "- - -"              , "- - -"             , "- - -"                , 20224898027, 17/04/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Linguagens           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           91,         93,      92,      86,     84,       85,        90,       87,        89,         88,    85, Letras
          295, "- - -"                     , "- - -" , "16/06/2025 16:24", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       324, "- - -"                   , "Guilherme Arana"               , "- - -"              , "Sem agendar", guilhermear@email.com    , "- - -"              , +5531990712244      , "- - -"                , 47766982005, 14/10/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Linguagens           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         78,           86,         90,      88,      72,     73,       80,        73,       72,        71,         70,    80, Letras
          294, "- - -"                     , "- - -" , "16/06/2025 16:21", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       323, "- - -"                   , "Jussara Silva"                 , "- - -"              , "Sem agendar", jussara@email.com        , "- - -"              , +5532988556644      , "- - -"                , 85223274083, 14/11/2007          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         69,           84,         71,      74,      86,     63,       74,        91,       92,        98,         97,    74, Relações Internacionais
          293, "- - -"                     , "- - -" , "16/06/2025 16:19", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       322, "- - -"                   , "Lucas Santos"                  , "- - -"              , "Sem agendar", lucasss@email.com        , "- - -"              , +5532995948806      , "- - -"                , 50985749008, 08/05/2006          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         89,           84,         79,      81,      78,     90,       89,        76,       75,        80,         81,    76, Engenharia Florestal
          292, "- - -"                     , "- - -" , "16/06/2025 16:18", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       321, "- - -"                   , "Eduardo Alc�ntara"             , "- - -"              , "Sem agendar", edualc@email.com         , "- - -"              , +5532995996688      , "- - -"                , 15728547079, 01/09/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         97,           90,         92,      91,      89,     96,       98,        91,       90,        89,         88,    90, Engenharia Florestal
          291, "- - -"                     , "- - -" , "16/06/2025 16:17", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       320, "- - -"                   , "Ana Maria Machado"             , "- - -"              , "Sem agendar", anamariama@email.com     , "- - -"              , +5588995926044      , "- - -"                , 98816076046, 15/06/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         85,           80,         78,      79,      79,     86,       84,        80,       80,        79,         76,    78, Engenharia Florestal
          290, "- - -"                     , "- - -" , "16/06/2025 16:15", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       318, "- - -"                   , "Carol Magalh�es"               , "- - -"              , "Sem agendar", carolmaga@email.com      , "- - -"              , +5522998905623      , "- - -"                , 15627291010, 01/02/2011          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         89,           81,         83,      82,      80,     88,       87,        80,       79,        76,         75,    79, Engenharia Florestal
          289, "- - -"                     , "- - -" , "16/06/2025 16:12", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       317, "- - -"                   , "Emanuel Lima"                  , "- - -"              , "Sem agendar", manulima@email.com       , "- - -"              , +5541998056144      , "- - -"                , 53275954040, 13/05/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         88,           82,         80,      81,      90,     91,       94,        80,       85,        83,         81,    80, Biomedicina
          288, "- - -"                     , "- - -" , "16/06/2025 16:11", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       316, "- - -"                   , "Matheus Garcia"                , "- - -"              , "Sem agendar", matgarcia@email.com      , "- - -"              , +5531999580600      , "- - -"                , 67269629080, 07/04/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         72,           73,         74,      71,      79,     79,       79,        71,       70,        72,         75,    73, Biomedicina
          287, "- - -"                     , "- - -" , "16/06/2025 16:10", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       315, "- - -"                   , "Maria Eduarda Carvalho"        , "- - -"              , "Sem agendar", mecarvalho@email.com     , "- - -"              , +5577992948063      , "- - -"                , 50950291030, 16/11/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         78,           76,         73,      73,      86,     85,       82,        79,       73,        81,         76,    73, Biomedicina
          286, "- - -"                     , "- - -" , "16/06/2025 16:09", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       314, "- - -"                   , "Laura Fernandes"               , "- - -"              , "Sem agendar", laurafernandes@email.com , "- - -"              , +5571985868280      , "- - -"                , 89806015061, 15/04/2007          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Biol�gicas           , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         69,           70,         63,      65,      80,     81,       79,        71,       72,        68,         62,    59, Biomedicina
